Feature1,Feature2,Feature3,Feature4,Label
3.8,16.3,-0.6,69.6,FALSE
3.2,18.9,-3.3,70.0,TRUE
,13.8,4.3,20.2,FALSE
2.3,13.7,-4.3,4.1,FALSE
3.6,12.8,-2.5,63.3,FALSE
3.2,13.6,-3.2,95.8,TRUE
3.8,10.8,0.9,97.1,FALSE
1.0,16.2,0.7,95.1,TRUE
4.7,19.0,4.9,26.0,TRUE
0.6,12.1,-2.8,67.2,TRUE
3.2,10.4,-3.5,43.7,FALSE
3.3,12.9,1.7,15.8,TRUE
3.2,13.6,-3.2,95.8,TRUE
3.4,15.0,1.4,14.9,TRUE
1.3,14.8,1.4,22.5,FALSE
0.6,12.4,3.7,,FALSE
2.6,17.8,4.8,61.4,TRUE
0.7,17.3,-1.4,56.2,TRUE
1.2,18.1,-0.7,22.4,FALSE
,19.3,-2.0,31.4,FALSE
0.4,13.8,-3.2,46.9,FALSE
3.2,13.6,-3.2,95.8,TRUE